wChemicalFormula	wListOfElements	wListOfElementsQ	wCurieTemperature
Co13.6Mn3.4Pr2	Co;Mn;Pr;	13.6;3.4;2;	881 K;
Co13.6Si3.4U2	Co;Si;U;	13.6;3.4;2;	208 K;207 K;
Co13.7La2Mn3.3	Co;La;Mn;	13.7;2;3.3;	715 K;
Co13Dy2Ga4	Co;Dy;Ga;	13;2;4;	618 K;
Co13Er2Fe2Mn2	Co;Er;Fe;Mn;	13;2;2;2;	998 K;
Co13Er2Fe3Mn	Co;Er;Fe;Mn;	13;2;3;1;	1090 K;
Co13Er2Fe4	Co;Er;Fe;	13;2;4;	1190 K;
Co13Er2Ga4	Co;Er;Ga;	13;2;4;	602 K;
Co13Er2Mn4	Co;Er;Mn;	13;2;4;	610 K;746 K;
Co13Fe2Mn2Tm2	Co;Fe;Mn;Tm;	13;2;2;2;	979 K;
Co13Fe2Mn2Yb2	Co;Fe;Mn;Yb;	13;2;2;2;	1013 K;
Co13Fe3La2Mo	Co;Fe;La;Mo;	13;3;2;1;	644 K;
Co13Fe3MnTm2	Co;Fe;Mn;Tm;	13;3;1;2;	1105 K;
Co13Fe3MnYb2	Co;Fe;Mn;Yb;	13;3;1;2;	1134 K;
Co13Fe4Nd0.5Sm1.5	Co;Fe;Nd;Sm;	13;4;0.5;1.5;	1143 K;
Co13Fe4Nd0.8Sm1.2	Co;Fe;Nd;Sm;	13;4;0.8;1.2;	1137 K;
Co13Fe4Nd1.2Sm0.8	Co;Fe;Nd;Sm;	13;4;1.2;0.8;	1134 K;
Co13Fe4Nd1.4Sm0.6	Co;Fe;Nd;Sm;	13;4;1.4;0.6;	1132 K;
Co13Fe4Nd1.6Sm0.4	Co;Fe;Nd;Sm;	13;4;1.6;0.4;	1126 K;
Co13Fe4Nd1.8Sm0.2	Co;Fe;Nd;Sm;	13;4;1.8;0.2;	1126 K;
Co13Fe4Nd2	Co;Fe;Nd;	13;4;2;	1113 K;
Co13Fe4NdSm	Co;Fe;Nd;Sm;	13;4;1;1;	1137 K;
Co13Fe4Sm2	Co;Fe;Sm;	13;4;2;	1145 K;
