wChemicalFormula	wListOfElements	wListOfElementsQ	wCurieTemperature
Co22.5Cr6.5Gd3	Co;Cr;Gd;	22.5;6.5;3;	412 K;
Co22Cr7Gd3	Co;Cr;Gd;	22;7;3;	359 K;
Co22Cr7Y3	Co;Cr;Y;	22;7;3;	220 K;
Co23Hf6	Co;Hf;	23;6;	499 K;
Co23Zr6	Co;Zr;	23;6;	453 K;
Co2Cr0.02Fe0.98Si	Co;Cr;Fe;Si;	2;0.02;0.98;1;	990 K;
Co2CrGa	Co;Cr;Ga;	2;1;1;	495 K;495 K;
Co2Cu3Gd	Co;Cu;Gd;	2;3;1;	523 K;
Co2Dy	Co;Dy;	2;1;	143.5 K;169 K;135 K;138 K;133 K;159 K;140 K;146 K;138 K;136 K;
Co2Dy2I	Co;Dy;I;	2;2;1;	64 K;
Co2DyFe8Mo2	Co;Dy;Fe;Mo;	2;1;8;2;	490 K;
Co2DyFeGa2	Co;Dy;Fe;Ga;	2;1;1;2;	385 K;
Co2Er	Co;Er;	2;1;	33 K;38.8 K;86 K;30 K;40 K;38 K;48 K;32 K;33 K;38 K;
Co2ErFe8Mo2	Co;Er;Fe;Mo;	2;1;8;2;	450 K;
Co2ErFeGa2	Co;Er;Fe;Ga;	2;1;1;2;	320 K;
Co2EuP2	Co;Eu;P;	2;1;2;	67 K;
Co2Fe0.2GeTi0.8	Co;Fe;Ge;Ti;	2;0.2;1;0.8;	447 K;
Co2Fe0.4GeTi0.6	Co;Fe;Ge;Ti;	2;0.4;1;0.6;	640 K;
Co2Fe0.5GaMn0.5	Co;Fe;Ga;Mn;	2;0.5;1;0.5;	990 K;
Co2Fe0.6GeTi0.4	Co;Fe;Ge;Ti;	2;0.6;1;0.4;	720 K;
Co2Fe0.8GeTi0.2	Co;Fe;Ge;Ti;	2;0.8;1;0.2;	840 K;
Co2Fe13Ga2Nd2	Co;Fe;Ga;Nd;	2;13;2;2;	650 K;
Co2Fe8HoMo2	Co;Fe;Ho;Mo;	2;8;1;2;	480 K;
Co2Fe8Mo2Pr	Co;Fe;Mo;Pr;	2;8;2;1;	530 K;
Co2Fe8Mo2Y	Co;Fe;Mo;Y;	2;8;2;1;	470 K;
Co2Fe8Si2Y	Co;Fe;Si;Y;	2;8;2;1;	670 K;
Co2Fe8V2Y	Co;Fe;V;Y;	2;8;2;1;	623 K;
Co2FeGa	Co;Fe;Ga;	2;1;1;	1100 K;1060 K;1010 K;1080 K;1093 K;1100 K;
Co2FeGa0.5Ge0.5	Co;Fe;Ga;Ge;	2;1;0.5;0.5;	1080 K;
Co2FeGa0.5Si0.5	Co;Fe;Ga;Si;	2;1;0.5;0.5;	1097 K;
Co2FeGa2Gd	Co;Fe;Ga;Gd;	2;1;2;1;	480 K;
Co2FeGa2Nd	Co;Fe;Ga;Nd;	2;1;2;1;	570 K;
Co2FeGa2Pr	Co;Fe;Ga;Pr;	2;1;2;1;	470 K;
Co2FeGa2Tb	Co;Fe;Ga;Tb;	2;1;2;1;	490 K;
Co2FeGa2Y	Co;Fe;Ga;Y;	2;1;2;1;	340 K;
Co2FeGe	Co;Fe;Ge;	2;1;1;	1050 K;980 K;1000 K;
Co2FeGe0.25Si0.75	Co;Fe;Ge;Si;	2;1;0.25;0.75;	990 K;
Co2FeIn	Co;Fe;In;	2;1;1;	900 K;
Co2FeSi	Co;Fe;Si;	2;1;1;	1027 K;980 K;1039 K;1100 K;1100 K;1045 K;1100 K;1100 K;1100 K;
Co2FeSn	Co;Fe;Sn;	2;1;1;	960 K;
Co2Ga0.25Ge0.75Mn	Co;Ga;Ge;Mn;	2;0.25;0.75;1;	895 K;
Co2Ga0.5MnSn0.5	Co;Ga;Mn;Sn;	2;0.5;1;0.5;	770 K;
Co2GaHf	Co;Ga;Hf;	2;1;1;	186 K;186 K;186 K;
Co2GaMn	Co;Ga;Mn;	2;1;1;	685 K;694 K;700 K;694 K;694 K;694 K;
Co2GaTi	Co;Ga;Ti;	2;1;1;	130 K;128 K;130 K;
Co2GaV	Co;Ga;V;	2;1;1;	352 K;357 K;352 K;
Co2Gd	Co;Gd;	2;1;	404 K;405 K;398 K;410 K;400 K;413 K;405 K;395 K;408 K;410 K;395 K;408 K;403.7 K;404 K;395 K;435 K;
Co2Gd2I	Co;Gd;I;	2;2;1;	134 K;
Co2Ge	Co;Ge;	2;1;	6 K;46.4 K;
Co2Ge3La5	Co;Ge;La;	2;3;5;	3.8 K;
Co2Ge7U3	Co;Ge;U;	2;7;3;	40 K;
Co2GeMn	Co;Ge;Mn;	2;1;1;	900 K;905 K;905 K;905 K;905 K;
Co2GeTi	Co;Ge;Ti;	2;1;1;	386 K;380 K;391 K;380 K;
Co2HfSn	Co;Hf;Sn;	2;1;1;	394 K;394 K;
Co2Ho	Co;Ho;	2;1;	78 K;77 K;82 K;78 K;86.8 K;95 K;77.8 K;77 K;77.4 K;78 K;75 K;89 K;95 K;74 K;
Co2Ho2I	Co;Ho;I;	2;2;1;	36 K;
Co2ILa2	Co;I;La;	2;1;2;	14 K;
Co2INd2	Co;I;Nd;	2;1;2;	59 K;
Co2IPr2	Co;I;Pr;	2;1;2;	35 K;
Co2ITb2	Co;I;Tb;	2;1;2;	96 K;
Co2K0.55Se2Tl0.45	Co;K;Se;Tl;	2;0.55;2;0.45;	80 K;
Co2K0.5Se2Tl0.5	Co;K;Se;Tl;	2;0.5;2;0.5;	80 K;
Co2K0.6Se2Tl0.4	Co;K;Se;Tl;	2;0.6;2;0.4;	79 K;
Co2K0.8Se2Tl0.2	Co;K;Se;Tl;	2;0.8;2;0.2;	78 K;
Co2KSe2	Co;K;Se;	2;1;2;	78 K;
Co2La	Co;La;	2;1;	130 K;
Co2LaP2	Co;La;P;	2;1;2;	132 K;132 K;133 K;125 K;
Co2Mg	Co;Mg;	2;1;	321 K;320 K;321 K;
Co2MnO4	Co;Mn;O;	2;1;4;	183 K;
Co2MnSi	Co;Mn;Si;	2;1;1;	985 K;985 K;900 K;985 K;985 K;1020 K;
Co2MnSn	Co;Mn;Sn;	2;1;1;	829 K;829 K;811 K;829 K;800 K;829 K;
Co2MnSn0.75Ti0.25	Co;Mn;Sn;Ti;	2;1;0.75;0.25;	480 K;
Co2MnTi	Co;Mn;Ti;	2;1;1;	938 K;
Co2NbSn	Co;Nb;Sn;	2;1;1;	105 K;119 K;
Co2Nd	Co;Nd;	2;1;	110 K;116 K;115 K;100 K;98 K;105.3 K;98 K;126 K;99 K;100 K;
Co2Ni3Tb	Co;Ni;Tb;	2;3;1;	305 K;
Co2O4Sn	Co;O;Sn;	2;4;1;	41 K;
Co2O4Ti	Co;O;Ti;	2;4;1;	47.8 K;
Co2O4V	Co;O;V;	2;4;1;	160 K;158 K;
Co2Pr	Co;Pr;	2;1;	49 K;40 K;34 K;50 K;38 K;39.3 K;50 K;54 K;50 K;46 K;40 K;
Co2S2Tl	Co;S;Tl;	2;2;1;	146 K;154 K;
Co2ScSn	Co;Sc;Sn;	2;1;1;	238 K;
Co2SiTi	Co;Si;Ti;	2;1;1;	380 K;375 K;380 K;
Co2Sm	Co;Sm;	2;1;	226.7 K;205 K;230 K;211 K;204 K;232 K;259 K;240 K;
Co2SnTi	Co;Sn;Ti;	2;1;1;	355 K;355 K;364 K;371 K;
Co2SnV	Co;Sn;V;	2;1;1;	95 K;95 K;
Co2SnZr	Co;Sn;Zr;	2;1;1;	448 K;448 K;444 K;
Co2Tb	Co;Tb;	2;1;	245 K;240 K;230 K;230 K;228 K;237.5 K;256 K;
Co2Ti	Co;Ti;	2;1;	59 K;
Co2Tm	Co;Tm;	2;1;	18 K;4 K;33 K;4 K;4.5 K;20 K;
Co2Y	Co;Y;	2;1;	291 K;
Co3.4Fe13.6N2.8Sm2	Co;Fe;N;Sm;	3.4;13.6;2.8;2;	842 K;
Co3.4Fe13.6Sm2	Co;Fe;Sm;	3.4;13.6;2;	718 K;
Co3.5DyFe0.5Ga	Co;Dy;Fe;Ga;	3.5;1;0.5;1;	568 K;
Co3.75Cu1.25Gd	Co;Cu;Gd;	3.75;1.25;1;	783 K;
Co3Cu2Dy	Co;Cu;Dy;	3;2;1;	650 K;
Co3Dy	Co;Dy;	3;1;	450 K;450 K;452.5 K;455 K;
Co3Dy4	Co;Dy;	3;4;	55 K;55 K;
Co3DyFeGa	Co;Dy;Fe;Ga;	3;1;1;1;	618 K;
Co3DySn	Co;Dy;Sn;	3;1;1;	82 K;
Co3Er	Co;Er;	3;1;	395 K;401 K;
Co3Er4	Co;Er;	3;4;	25 K;25 K;
Co3ErSn	Co;Er;Sn;	3;1;1;	47 K;
Co3Fe12Ga2Y2	Co;Fe;Ga;Y;	3;12;2;2;	673 K;673 K;
Co3Fe7Mo2Nd	Co;Fe;Mo;Nd;	3;7;2;1;	583 K;
Co3Fe7V2Y	Co;Fe;V;Y;	3;7;2;1;	651 K;
Co3FeGaGd	Co;Fe;Ga;Gd;	3;1;1;1;	635 K;
Co3FeGaTb	Co;Fe;Ga;Tb;	3;1;1;1;	625 K;
Co3Ga2Gd	Co;Ga;Gd;	3;2;1;	210 K;
Co3Ga2Tb	Co;Ga;Tb;	3;2;1;	205 K;
Co3Ga2Y	Co;Ga;Y;	3;2;1;	85 K;80 K;80 K;
Co3Gd	Co;Gd;	3;1;	612 K;611.5 K;612 K;597 K;612 K;670 K;611 K;
Co3Gd0.1Nd0.9	Co;Gd;Nd;	3;0.1;0.9;	409 K;
Co3Gd0.2Nd0.8	Co;Gd;Nd;	3;0.2;0.8;	440 K;
Co3Gd0.3Nd0.7	Co;Gd;Nd;	3;0.3;0.7;	477 K;
Co3Gd0.4Nd0.6	Co;Gd;Nd;	3;0.4;0.6;	504 K;
Co3Gd0.5Nd0.5	Co;Gd;Nd;	3;0.5;0.5;	528 K;
Co3Gd0.6Nd0.4	Co;Gd;Nd;	3;0.6;0.4;	560 K;
Co3Gd0.7Nd0.3	Co;Gd;Nd;	3;0.7;0.3;	578 K;
Co3Gd0.8Nd0.2	Co;Gd;Nd;	3;0.8;0.2;	580 K;
Co3Gd0.9Nd0.1	Co;Gd;Nd;	3;0.9;0.1;	588 K;
Co3Gd2	Co;Gd;	3;2;	320 K;
Co3Gd4	Co;Gd;	3;4;	231.5 K;230 K;
Co3GdSn	Co;Gd;Sn;	3;1;1;	133 K;
Co3H1.9Y	Co;H;Y;	3;1.9;1;	230 K;
Co3H2Y	Co;H;Y;	3;2;1;	237 K;
Co3H4.3Tm	Co;H;Tm;	3;4.3;1;	370 K;
Co3Hf	Co;Hf;	3;1;	40 K;
Co3Ho	Co;Ho;	3;1;	418 K;440 K;418 K;
Co3Ho4	Co;Ho;	3;4;	44 K;44 K;
Co3HoSn	Co;Ho;Sn;	3;1;1;	57 K;
Co3In0.14S2Sn1.86	Co;In;S;Sn;	3;0.14;2;1.86;	161 K;
Co3In0.34S2Sn1.66	Co;In;S;Sn;	3;0.34;2;1.66;	126 K;
Co3In0.52S2Sn1.48	Co;In;S;Sn;	3;0.52;2;1.48;	90 K;
Co3In0.65S2Sn1.35	Co;In;S;Sn;	3;0.65;2;1.35;	40 K;
Co3In0.72S2Sn1.28	Co;In;S;Sn;	3;0.72;2;1.28;	21 K;
Co3Lu	Co;Lu;	3;1;	362 K;362 K;362 K;362 K;
Co3N	Co;N;	3;1;	650 K;
Co3Nd	Co;Nd;	3;1;	392.6 K;395 K;370 K;381 K;381 K;395 K;
Co3Nd0.1Tb0.9	Co;Nd;Tb;	3;0.1;0.9;	475 K;
Co3Nd0.2Tb0.8	Co;Nd;Tb;	3;0.2;0.8;	470 K;
Co3Nd0.3Tb0.7	Co;Nd;Tb;	3;0.3;0.7;	468 K;
Co3Nd0.4Tb0.6	Co;Nd;Tb;	3;0.4;0.6;	452 K;
Co3Nd0.5Tb0.5	Co;Nd;Tb;	3;0.5;0.5;	442 K;
Co3Nd0.6Tb0.4	Co;Nd;Tb;	3;0.6;0.4;	425 K;
Co3Nd0.7Tb0.3	Co;Nd;Tb;	3;0.7;0.3;	418 K;
Co3Nd0.8Tb0.2	Co;Nd;Tb;	3;0.8;0.2;	402 K;
Co3Nd0.9Tb0.1	Co;Nd;Tb;	3;0.9;0.1;	386 K;
Co3O8V2	Co;O;V;	3;8;2;	10 K;
Co3Pr	Co;Pr;	3;1;	339.5 K;349 K;
Co3S2Sn2	Co;S;Sn;	3;2;2;	177 K;173.5 K;
Co3Sb4U3	Co;Sb;U;	3;4;3;	10 K;
Co3SnTb	Co;Sn;Tb;	3;1;1;	105 K;
Co3SnTm	Co;Sn;Tm;	3;1;1;	37 K;
Co3Tb	Co;Tb;	3;1;	506 K;506 K;487 K;506 K;506 K;
Co3Tm	Co;Tm;	3;1;	370 K;401 K;370 K;
Co3Y	Co;Y;	3;1;	305.5 K;301 K;301 K;301 K;301 K;310 K;301 K;310 K;287 K;310 K;298 K;
Co3Y4	Co;Y;	3;4;	13 K;
Co3Yb	Co;Yb;	3;1;	330 K;330 K;
Co4.08Fe9.52Si3.4U2	Co;Fe;Si;U;	4.08;9.52;3.4;2;	570 K;
Co4.5Fe10.5Ga2Y2	Co;Fe;Ga;Y;	4.5;10.5;2;2;	737 K;737 K;
Co4.5Ge0.5Y	Co;Ge;Y;	4.5;0.5;1;	778 K;778 K;
Co4.5PrSi0.5	Co;Pr;Si;	4.5;1;0.5;	645 K;
Co4.5Y6	Co;Y;	4.5;6;	7 K;6 K;6 K;
Co4.6Fe2.4Nd2	Co;Fe;Nd;	4.6;2.4;2;	730.3 K;
Co4.8Fe11.2GaPr2	Co;Fe;Ga;Pr;	4.8;11.2;1;2;	763 K;
Co4.9Fe2.1Nd2	Co;Fe;Nd;	4.9;2.1;2;	725.1 K;
Co4CuDy	Co;Cu;Dy;	4;1;1;	800 K;
Co4CuGd	Co;Cu;Gd;	4;1;1;	818 K;
Co4DyFe6Mo2	Co;Dy;Fe;Mo;	4;1;6;2;	590 K;
Co4DyGa	Co;Dy;Ga;	4;1;1;	498 K;485 K;
Co4DySi	Co;Dy;Si;	4;1;1;	360 K;
Co4ErFe6Mo2	Co;Er;Fe;Mo;	4;1;6;2;	510 K;
Co4ErGa	Co;Er;Ga;	4;1;1;	505 K;
Co4ErSi	Co;Er;Si;	4;1;1;	350 K;
Co4Fe11Ga2Nd2	Co;Fe;Ga;Nd;	4;11;2;2;	750 K;
Co4Fe6HoMo2	Co;Fe;Ho;Mo;	4;6;1;2;	575 K;
Co4Fe6Mo2Pr	Co;Fe;Mo;Pr;	4;6;2;1;	610 K;
Co4Fe6Mo2Y	Co;Fe;Mo;Y;	4;6;2;1;	570 K;
Co4Fe6Si2Y	Co;Fe;Si;Y;	4;6;2;1;	764 K;
Co4FeTh	Co;Fe;Th;	4;1;1;	560 K;
Co4FeTh0.2Y0.8	Co;Fe;Th;Y;	4;1;0.2;0.8;	915 K;
Co4FeTh0.4Y0.6	Co;Fe;Th;Y;	4;1;0.4;0.6;	874 K;
Co4FeTh0.6Y0.4	Co;Fe;Th;Y;	4;1;0.6;0.4;	760 K;
Co4FeTh0.8Y0.2	Co;Fe;Th;Y;	4;1;0.8;0.2;	687 K;
Co4GaGd	Co;Ga;Gd;	4;1;1;	545 K;
Co4GaHo	Co;Ga;Ho;	4;1;1;	494 K;505 K;
Co4GaLa	Co;Ga;La;	4;1;1;	380 K;
Co4GaNd	Co;Ga;Nd;	4;1;1;	475 K;475 K;
Co4GaPr	Co;Ga;Pr;	4;1;1;	455 K;450 K;
Co4GaTb	Co;Ga;Tb;	4;1;1;	493 K;505 K;
Co4GaTm	Co;Ga;Tm;	4;1;1;	375 K;
Co4GaY	Co;Ga;Y;	4;1;1;	443 K;470 K;
Co4GdSi	Co;Gd;Si;	4;1;1;	470 K;470 K;470 K;
Co4Ge7U3	Co;Ge;U;	4;7;3;	21.5 K;
Co4GeY	Co;Ge;Y;	4;1;1;	502 K;
Co4HoSi	Co;Ho;Si;	4;1;1;	420 K;
Co4N	Co;N;	4;1;	650 K;
Co4NdSi	Co;Nd;Si;	4;1;1;	400 K;400 K;
Co4PrSi	Co;Pr;Si;	4;1;1;	425 K;
Co4SiSm	Co;Si;Sm;	4;1;1;	450 K;
Co4SiY	Co;Si;Y;	4;1;1;	350 K;320 K;350 K;
Co5.1Fe11.9N2.8Sm2	Co;Fe;N;Sm;	5.1;11.9;2.8;2;	877 K;
Co5.1Fe11.9Sm2	Co;Fe;Sm;	5.1;11.9;2;	846 K;
Co5.1Tb	Co;Tb;	5.1;1;	980 K;
Co5.2Dy	Co;Dy;	5.2;1;	960 K;
Co5.2Er0.9	Co;Er;	5.2;0.9;	1123 K;
Co5.3Fe1.8Nd2	Co;Fe;Nd;	5.3;1.8;2;	714.1 K;
Co5.3U	Co;U;	5.3;1;	360 K;
Co5.44Fe8.16Si3.4U2	Co;Fe;Si;U;	5.44;8.16;3.4;2;	576 K;
Co5.5Fe1.5Nd2	Co;Fe;Nd;	5.5;1.5;2;	701.4 K;
Co5.5Ho	Co;Ho;	5.5;1;	1033 K;
Co5.6Fe1.4Nd2	Co;Fe;Nd;	5.6;1.4;2;	698.4 K;
Co5.8Fe1.2Nd2	Co;Fe;Nd;	5.8;1.2;2;	689.2 K;
Co5.9Er	Co;Er;	5.9;1;	1053 K;
Co5Dy	Co;Dy;	5;1;	998 K;965 K;998 K;966 K;966 K;966 K;925 K;973 K;
Co5DyGa7	Co;Dy;Ga;	5;1;7;	296 K;
Co5Er	Co;Er;	5;1;	986 K;1066 K;1066 K;
Co5ErGa7	Co;Er;Ga;	5;1;7;	293 K;
Co5Fe5Mo2Nd	Co;Fe;Mo;Nd;	5;5;2;1;	678 K;
Co5Fe5Si2U	Co;Fe;Si;U;	5;5;2;1;	750 K;
Co5Fe5V2Y	Co;Fe;V;Y;	5;5;2;1;	671 K;
Co5Ga7Ho	Co;Ga;Ho;	5;7;1;	294 K;
Co5Ga7Tb	Co;Ga;Tb;	5;7;1;	299 K;
Co5Ga7Y	Co;Ga;Y;	5;7;1;	295 K;
Co5Gd	Co;Gd;	5;1;	1008 K;1014 K;1000 K;1008 K;1000 K;1008 K;1013 K;1008 K;1013 K;953 K;968 K;
Co5Gd0.4Sm0.6	Co;Gd;Sm;	5;0.4;0.6;	727 K;
Co5Ho	Co;Ho;	5;1;	1036 K;1000 K;1050 K;1000 K;137 K;1066 K;1036 K;1000 K;
Co5La	Co;La;	5;1;	567 K;840 K;840 K;845 K;870 K;840 K;1273 K;874 K;840 K;870 K;
Co5Nd	Co;Nd;	5;1;	913 K;637 K;910 K;910 K;915 K;910 K;913 K;910 K;910 K;910 K;288 K;914 K;
Co5Pr	Co;Pr;	5;1;	912 K;912 K;912 K;885 K;950 K;620 K;912 K;912 K;921 K;912 K;
Co5Sm	Co;Sm;	5;1;	1020 K;984 K;1273 K;959 K;1000 K;997 K;727 K;959 K;1020 K;1020 K;1020 K;1020 K;1020 K;
Co5Tb	Co;Tb;	5;1;	970 K;980 K;980 K;987 K;980 K;980 K;987 K;
Co5Th	Co;Th;	5;1;	550 K;430 K;415 K;480 K;630 K;
Co5Th0.2Y0.8	Co;Th;Y;	5;0.2;0.8;	825 K;
Co5Th0.4Y0.6	Co;Th;Y;	5;0.4;0.6;	785 K;
Co5Th0.6Y0.4	Co;Th;Y;	5;0.6;0.4;	735 K;
Co5Th0.8Y0.2	Co;Th;Y;	5;0.8;0.2;	635 K;
Co5Tm	Co;Tm;	5;1;	1020 K;1020 K;
Co5U	Co;U;	5;1;	360 K;
Co5Y	Co;Y;	5;1;	945 K;970 K;980 K;973 K;977 K;980 K;978 K;921 K;977 K;983 K;978 K;977 K;987 K;977 K;955 K;945 K;945 K;987 K;903 K;975 K;977 K;987 K;
Co6.2Fe0.8Nd2	Co;Fe;Nd;	6.2;0.8;2;	666.6 K;
Co6.4Fe0.6Nd2	Co;Fe;Nd;	6.4;0.6;2;	652.5 K;
Co6.6Fe0.4Nd2	Co;Fe;Nd;	6.6;0.4;2;	638.8 K;
Co6.6Fe9.9Ga0.5Pr2	Co;Fe;Ga;Pr;	6.6;9.9;0.5;2;	843 K;
Co6.8Fe0.2Nd2	Co;Fe;Nd;	6.8;0.2;2;	622.2 K;
Co6.8Fe6.8Si3.4U2	Co;Fe;Si;U;	6.8;6.8;3.4;2;	592 K;
Co6DyFe4Mo2	Co;Dy;Fe;Mo;	6;1;4;2;	630 K;
Co6ErFe4Mo2	Co;Er;Fe;Mo;	6;1;4;2;	550 K;
Co6Fe4HoMo2	Co;Fe;Ho;Mo;	6;4;1;2;	630 K;
Co6Fe4Mo2Pr	Co;Fe;Mo;Pr;	6;4;2;1;	660 K;
Co6Fe4Mo2Y	Co;Fe;Mo;Y;	6;4;2;1;	610 K;
Co6Fe4Si2Y	Co;Fe;Si;Y;	6;4;2;1;	820 K;
Co6Fe9Ga2Nd2	Co;Fe;Ga;Nd;	6;9;2;2;	850 K;
Co6Fe9Ga2Y2	Co;Fe;Ga;Y;	6;9;2;2;	787 K;787 K;
Co6FeNd2	Co;Fe;Nd;	6;1;2;	680.3 K;
Co6O11Sr	Co;O;Sr;	6;11;1;	25 K;
Co6Tm	Co;Tm;	6;1;	1020 K;
Co7.2Fe8.8GaPr2	Co;Fe;Ga;Pr;	7.2;8.8;1;2;	915 K;
Co7.5Fe7.5Ga2Nd2	Co;Fe;Ga;Nd;	7.5;7.5;2;2;	875 K;
Co7.5Fe7.5Ga2Y2	Co;Fe;Ga;Y;	7.5;7.5;2;2;	850 K;
Co7Dy2	Co;Dy;	7;2;	647 K;640 K;640 K;
Co7Er2	Co;Er;	7;2;	646 K;646 K;644 K;670 K;
Co7Fe3Mo2Nd	Co;Fe;Mo;Nd;	7;3;2;1;	645 K;
Co7Gd2	Co;Gd;	7;2;	775 K;762 K;745 K;775 K;771 K;775 K;950 K;805 K;771 K;
Co7Hf	Co;Hf;	7;1;	600 K;751 K;600 K;
Co7Hf2	Co;Hf;	7;2;	420 K;
Co7Ho2	Co;Ho;	7;2;	647 K;670 K;647 K;644 K;
Co7La2	Co;La;	7;2;	490 K;490 K;490 K;490 K;
Co7Lu2	Co;Lu;	7;2;	459 K;
Co7Nd2	Co;Nd;	7;2;	609 K;609 K;605.2 K;609 K;
Co7Pr2	Co;Pr;	7;2;	574 K;574 K;574 K;
Co7Sm2	Co;Sm;	7;2;	713 K;713 K;713 K;
Co7Tb2	Co;Tb;	7;2;	717 K;693 K;717 K;
Co7Tm2	Co;Tm;	7;2;	640 K;
Co7Y2	Co;Y;	7;2;	639 K;639 K;615 K;639 K;639 K;
Co7Y9	Co;Y;	7;9;	4.5 K;4.5 K;
Co8.16Fe5.44Si3.4U2	Co;Fe;Si;U;	8.16;5.44;3.4;2;	561 K;
Co8.25Fe8.25Ga0.5Pr2	Co;Fe;Ga;Pr;	8.25;8.25;0.5;2;	929 K;
Co8.4Fe5.6Ga3Pr2	Co;Fe;Ga;Pr;	8.4;5.6;3;2;	744 K;
Co8.5Fe8.5N2.9Sm2	Co;Fe;N;Sm;	8.5;8.5;2.9;2;	901 K;
Co8.5Fe8.5Sm2	Co;Fe;Sm;	8.5;8.5;2;	1018 K;
Co8.5PrSi4.5	Co;Pr;Si;	8.5;1;4.5;	20 K;
Co8.5Si2.5Y	Co;Si;Y;	8.5;2.5;1;	372 K;
Co8Dy3Sn4	Co;Dy;Sn;	8;3;4;	73 K;
Co8DyFe2Mo2	Co;Dy;Fe;Mo;	8;1;2;2;	600 K;
Co8Er3Sn4	Co;Er;Sn;	8;3;4;	50 K;
Co8ErFe2Mo2	Co;Er;Fe;Mo;	8;1;2;2;	610 K;
Co8Fe2HoMo2	Co;Fe;Ho;Mo;	8;2;1;2;	615 K;
Co8Fe2Mo2Pr	Co;Fe;Mo;Pr;	8;2;2;1;	640 K;
Co8Fe2Mo2Y	Co;Fe;Mo;Y;	8;2;2;1;	550 K;
Co8Fe2Si2Y	Co;Fe;Si;Y;	8;2;2;1;	743 K;
Co8Fe7Ga2Nd2	Co;Fe;Ga;Nd;	8;7;2;2;	900 K;
Co8Gd3Sn4	Co;Gd;Sn;	8;3;4;	102.5 K;102.5 K;
Co8Nd3Sn4	Co;Nd;Sn;	8;3;4;	37 K;
Co8Pr3Sn4	Co;Pr;Sn;	8;3;4;	17 K;
Co8Sm3Sn4	Co;Sm;Sn;	8;3;4;	83 K;
Co8Sn4Tb3	Co;Sn;Tb;	8;4;3;	91 K;91 K;91 K;90 K;
Co8Sn4Y3	Co;Sn;Y;	8;4;3;	53 K;61.5 K;61 K;61.5 K;
Co9.077Fe19.285Gd3Ti0.638	Co;Fe;Gd;Ti;	9.077;19.285;3;0.638;	886 K;
Co9.3Fe6.2Ga1.5Pr2	Co;Fe;Ga;Pr;	9.3;6.2;1.5;2;	876 K;
Co9.52Fe4.08Si3.4U2	Co;Fe;Si;U;	9.52;4.08;3.4;2;	522 K;
Co9.5DySi3.5	Co;Dy;Si;	9.5;1;3.5;	490 K;55 K;
Co9.5GdSi3.5	Co;Gd;Si;	9.5;1;3.5;	70 K;483 K;
Co9.5LaSi3.5	Co;La;Si;	9.5;1;3.5;	880 K;200 K;
Co9.5NdSi3.5	Co;Nd;Si;	9.5;1;3.5;	225 K;908 K;
Co9.5PrSi3.5	Co;Pr;Si;	9.5;1;3.5;	903 K;70 K;
Co9.6Fe6.4GaPr2	Co;Fe;Ga;Pr;	9.6;6.4;1;2;	939 K;
Co9.9Fe6.6Ga0.5Pr2	Co;Fe;Ga;Pr;	9.9;6.6;0.5;2;	979 K;
Co9DySi4	Co;Dy;Si;	9;1;4;	45 K;
Co9Er2Ga8	Co;Er;Ga;	9;2;8;	25 K;
Co9ErSi2	Co;Er;Si;	9;1;2;	415 K;
Co9Fe6Ga2Pr2	Co;Fe;Ga;Pr;	9;6;2;2;	833 K;
Co9Fe6Ga2Y2	Co;Fe;Ga;Y;	9;6;2;2;	858 K;858 K;
Co9Ga8Tb2	Co;Ga;Tb;	9;8;2;	72 K;
Co9Ga8Y2	Co;Ga;Y;	9;8;2;	35 K;
Co9GdSi2	Co;Gd;Si;	9;1;2;	483 K;
Co9GdSi4	Co;Gd;Si;	9;1;4;	600 K;50 K;
Co9LaSi4	Co;La;Si;	9;1;4;	40 K;
Co9Mn8Nd2	Co;Mn;Nd;	9;8;2;	132 K;
Co9Mn8Pr2	Co;Mn;Pr;	9;8;2;	114 K;
Co9Mn8Sm2	Co;Mn;Sm;	9;8;2;	72.9 K;
Co9NdSi2	Co;Nd;Si;	9;1;2;	421 K;454 K;
Co9NdSi4	Co;Nd;Si;	9;1;4;	20 K;10 K;
Co9PrSi4	Co;Pr;Si;	9;1;4;	20 K;20 K;
Co9Si2Sm	Co;Si;Sm;	9;2;1;	473 K;430 K;
Co9Si2Tb	Co;Si;Tb;	9;2;1;	463 K;
Co9Si2Y	Co;Si;Y;	9;2;1;	372 K;
Co9Si4Sm	Co;Si;Sm;	9;4;1;	35 K;
Co9Si4Y	Co;Si;Y;	9;4;1;	25 K;
CoCr0.5Rh1.5S4	Co;Cr;Rh;S;	1;0.5;1.5;4;	50 K;
CoCr1.65Rh0.35S4	Co;Cr;Rh;S;	1;1.65;0.35;4;	200 K;
CoCr2O4	Co;Cr;O;	1;2;4;	95.9 K;96 K;95 K;100 K;97 K;98 K;95.9 K;
CoCr2S4	Co;Cr;S;	1;2;4;	238 K;240 K;240 K;227 K;227 K;235 K;227 K;
CoCrInS4	Co;Cr;In;S;	1;1;1;4;	200 K;
CoDy2Si2	Co;Dy;Si;	1;2;2;	139 K;
CoEr2Si2	Co;Er;Si;	1;2;2;	50 K;
CoEr3	Co;Er;	1;3;	7 K;7 K;7 K;
CoF6H12O6Si	Co;F;H;O;Si;	1;6;12;6;1;	246 K;259 K;
CoF6H12O6Zr	Co;F;H;O;Zr;	1;6;12;6;1;	246 K;
