Name,Temp,BCCmagmom_composition_average,GSmagmom_composition_average,IsBCC_composition_average,ElectricalConductivity_composition_average,BCCmagmom_max_value,ThirdIonizationEnergy_composition_average,NdValence_composition_average,GSestFCClatcnt_composition_average,ElectronAffinity_composition_average,valence_composition_average,valence_difference,GSestBCClatcnt_composition_average,SpaceGroupNumber_difference,SecondIonizationEnergy_composition_average,Electronegativity_arithmetic_average,IsHexagonal_composition_average,BCCefflatcnt_composition_average,HHIp_composition_average,ThirdIonizationEnergy_arithmetic_average,BCCmagmom_arithmetic_average
Al2Dy3,90.5,-0.995045947,-0.941899203,-0.94101955,0.737967364,-1.255162304,-0.528874834,-1.792095138,1.562194808,-0.402901545,-0.951424349,-1.434345439,1.562194808,-0.571976145,-0.535029146,-1.258073142,0.905441388,1.714846937,1.609453239,-0.389512769,-1.155066805
Al1Dy6Fe9O24,490,-0.256812961,-0.20671485,-0.243156861,-0.733891208,1.022399734,1.187522404,-1.213525233,-0.708954957,0.669614056,-0.890521645,1.003422116,-0.708954957,1.803691918,1.784304185,0.902651683,-0.445068046,-0.83552493,-0.606910963,0.541131798,0.245608333
C1Dy1,165,-0.995045947,-0.941899203,-0.94101955,-1.103602638,-1.255162304,0.403709749,-1.792095138,-0.05376367,0.404368263,-0.545406318,-0.82490355,-0.05376367,-0.967920822,0.118436712,0.406747625,2.105894219,0.279809822,0.873411596,0.664292589,-1.155066805
Cd10Dy13,105,-0.995045947,-0.941899203,-0.94101955,-0.322494618,-1.255162304,-0.154939734,0.071253993,1.718006223,-0.820589724,-1.304483507,-0.82490355,1.718006223,-0.967920822,-0.644612056,-1.116386268,2.105894219,1.845782102,1.482401274,0.100148949,-1.155066805
Co7Dy2,647,1.041054895,0.922562833,-0.94101955,0.546782707,0.562039002,0.020879599,0.541232052,-0.329697025,-0.031418715,-0.951424349,-1.434345439,-0.329697025,-0.967920822,-0.286418764,-0.779879943,2.105894219,-0.120171707,0.61097552,-0.115599268,1.080050086
Co17Dy2,1170.5,1.347235473,1.202933064,-0.94101955,0.785550343,0.562039002,0.134339272,0.892108321,-0.746910852,0.01807933,-0.951424349,-1.434345439,-0.746910852,-0.967920822,-0.168492737,-0.779879943,2.105894219,-0.520341085,0.199814962,-0.115599268,1.080050086
Co3Dy4,55,0.12688717,0.085457429,-0.94101955,-0.166109232,0.562039002,-0.317878568,-0.506384238,0.915984258,-0.179205736,-0.951424349,-1.434345439,0.915984258,-0.967920822,-0.638512188,-0.779879943,2.105894219,1.074619722,1.838583473,-0.115599268,1.080050086
Cr1Dy2O7Sb1,16,-0.995045947,-0.941899203,-0.659054827,-1.03439394,-1.255162304,1.20837973,-1.207681092,-0.318942085,0.991185026,-1.09906727,1.003422116,-0.318942084,1.803691918,1.88528569,1.141748283,-0.34957748,-0.527756403,-0.20019053,0.464210512,-1.155066805
Al10Dy3Er2,49,-0.995045947,-0.941899203,-0.94101955,1.925580527,-1.255162304,-0.393134939,-1.792095138,0.963023118,-0.431115431,-0.951424349,-1.434345439,0.96302312,-0.571976145,-0.171504117,-1.464699833,0.105139501,1.155616434,0.452293243,-0.493791074,-1.155066805
Dy3Fe5O12,557.5,-0.174787074,-0.125027699,-0.165616563,-0.81439534,1.022399734,1.192518798,-1.149239688,-0.739894731,0.658504839,-0.82961894,1.003422116,-0.739894731,1.803691918,1.77192064,1.392652122,-0.445068046,-0.867648075,-0.595925267,0.749345089,0.712500046
